date,player,session_type,duration,total_distance_m,running_m,HSR_m,sprint_m,HI_m,acc_cnt,dec_cnt,high_acc_cnt,high_dec_cnt,player_load
2025-04-19,John Cena,OFFICIAL MATCH,01:25:00,9292,1528,663,662,1258,435,627,47,627,1208.2840857630197
2025-04-10,Jamie Foxx,FULL TRAINING,01:39:00,8895,590,78,9,87,262,359,17,6,549.0497719603582
2024-07-19,Adam Sandler,FULL TRAINING,01:24:00,4388,363,363,228,591,429,405,28,24,725.9376706263042
2024.09.25,Usain Bolt,FULL TRAINING,00:55:00,2840,639,65,12,78,267,253,16,6,547.497682771749
2024-06-28,Chris Hemsworth,FULL TRAINING,01:29:00,7881,860,390,5,396,355,291,18,15,1141.2851639074438
2025-03-25,Chris Hemsworth,FULL TRAINING,01:35:00,7208,323,156,104,261,253,190,24,7,739.5362690768476
2024-06-18,Gerard Butler,FULL TRAINING,00:44:00,7591,718,712,19,732,324,351,9,4,614.1910996125471
2024-09-25,Vin Diesel,FULL TRAINING,00:46:00,2990,634,49,5,55,303,426,2,139,580.7373255040981
2025-03-04,Ryan Reynolds,FULL TRAINING,01:45:00,8119,613,81,79,160,281,390,8,5,650.5632850924312
2024.12.14,Jason Momoa,OFFICIAL MATCH,01:23:00,9049,1105,520,112,633,375,207,18,26,877.3506401735117
2024-08-16,Jamie Foxx,FULL TRAINING,01:04:00,4643,700,300,7,308,385,485,36,35,475.4120284861863
2024.11.11,Robert Downey Jr.,FULL TRAINING,01:20:00,6590,535,535,137,673,235,195,8,33,486.5339274039465
2024-10-02,George Clooney,FULL TRAINING,00:31:00,2440,500,64,4,68,309,268,7,14,474.26707767562175
2024-08-16,John Cena,FULL TRAINING,01:05:00,5005,2236,227,10,237,341,389,9,272,593.9670329416905
2025-03-03,Jason Momoa,FULL TRAINING,01:34:00,9498,412,264,79,343,137,17,14,6,572.9722614443652
2024-06-24,Jamie Foxx,FULL TRAINING,01:08:00,8811,438,438,38,477,332,316,9,6,440.1167783877348
2025-02-07,Chris Hemsworth,FULL TRAINING,01:32:00,6548,372,213,28,241,386,349,7,31,810.7900223727956
2024-10-03,John Cena,FULL TRAINING,00:50:00,0,227,64,11,76,75,150,11,5,269.2275394502663
2024-10-21,Usain Bolt,FULL TRAINING,01:04:00,6414,212,212,10,222,274,188,5,4,465.8056596507223
2024-08-05,Jason Momoa,FULL TRAINING,01:41:00,4586,619,122,11,134,396,476,31,10,874.6989049883853
2024-08-09,George Clooney,FULL TRAINING,01:11:00,5173,161,42,32,75,257,282,38,12,589.5866412478937
2025-05-01,Chris Hemsworth,FULL TRAINING,01:53:00,13485,941,169,22,192,285,251,8,18,610.6766178837421
2025-02-26,Chris Hemsworth,FULL TRAINING,01:22:00,6722,845,473,51,525,309,280,54,6,853.9231429753662
2025-05-06,Robert Downey Jr.,FULL TRAINING,01:28:00,9843,1010,105,17,123,304,224,10,5,605.4537585929253
2025-04-12,Vin Diesel,OFFICIAL MATCH,01:00:00,5874,2216,936,167,1103,672,732,21,215,600.7309068077576
2024.08.26,Jason Momoa,FULL TRAINING,00:55:00,1600,416,416,59,475,81,39,25,29,466.85948072744236
2025-04-01,Gerard Butler,FULL TRAINING,01:30:00,3040,519,190,17,207,239,343,33,3,820.0764569193426
2025-01-22,Leonardo DiCaprio,FULL TRAINING,01:24:00,5791,860,860,156,1016,350,457,30,16,530.8570743384959
2025-03-17,Leonardo DiCaprio,FULL TRAINING,01:47:00,4668,777,81,53,134,300,98,6,10,933.3982262542031
2025-05-12,Robert Downey Jr.,FULL TRAINING,01:09:00,5856,693,614,48,662,249,201,16,21,704.2935946215322
2024-10-11,Cristiano Ronaldo,FULL TRAINING,01:37:00,7767,460,460,21,482,380,441,13,37,1119.2411360268125
2025-05-24,Mark Wahlberg,OFFICIAL MATCH,01:24:00,8267,1565,386,200,587,502,536,46,62,1245.10161842299
2024-07-26,Jamie Foxx,FULL TRAINING,01:10:00,3695,356,170,57,227,335,269,16,8,717.0506197573148
2025-05-08,Vin Diesel,FULL TRAINING,01:37:00,4418,842,253,58,312,278,320,6,16,537.0365616477866
2025.02.20,Usain Bolt,FULL TRAINING,01:52:00,8021,1299,214,28,242,232,301,8,34,858.0495401139791
2024-07-18,Jamie Foxx,FULL TRAINING,01:20:00,6467,1147,175,25,200,378,280,42,9,787.6471731661809
2024.08.05,John Cena,FULL TRAINING,01:00:00,5162,2135,85,2,87,220,228,5,19,514.7557234788212
2024-11-13,Adam Sandler,FULL TRAINING,00:47:00,1923,380,380,48,429,267,386,5,31,617.7090287873831
2025-04-24,George Clooney,FULL TRAINING,00:47:00,4265,2579,2578,105,2684,217,231,13,6,676.551094644638
2025-02-20,Gerard Butler,FULL TRAINING,01:17:00,10597,327,68,16,85,236,222,10,4,926.2378174979739
2024-08-19,Usain Bolt,FULL TRAINING,01:12:00,4665,151,106,38,144,293,370,13,28,689.4370508240019
2024-09-03,Ryan Reynolds,FULL TRAINING,01:31:00,7579,312,285,1,287,249,241,15,5,286.3729047650023
2025-01-01,Cristiano Ronaldo,FULL TRAINING,01:32:00,5494,1135,52,38,91,371,462,11,45,511.3682037911146
2024-06-21,Leonardo DiCaprio,FULL TRAINING,01:32:00,8840,307,142,112,255,292,185,26,9,561.1900809883496
2025-03-28,Robert Downey Jr.,FULL TRAINING,01:27:00,8895,1009,271,39,311,336,384,6,22,797.2416366130683
2025-03-31,George Clooney,FULL TRAINING,01:26:00,6982,503,256,11,268,283,410,12,9,485.1287356304165
2024.09.17,Chris Hemsworth,FULL TRAINING,01:18:00,7144,732,78,5,83,310,360,5,1,707.3327347710238
2024-11-04,Adam Sandler,FULL TRAINING,01:10:00,6202,1107,422,32,454,302,292,6,12,600.126576707171
2024-06-20,Ryan Reynolds,FULL TRAINING,01:09:00,4766,366,366,89,455,167,203,9,51,798.9455739211414
2024-12-10,Adam Sandler,FULL TRAINING,01:49:00,6200,600,38,38,66,67,9,19,6,800.8052494459339
2024-09-17,Justin Timberlake,FULL TRAINING,00:46:00,543,144,143,8,152,221,255,50,18,926.1614845916988
2024-07-22,Usain Bolt,FULL TRAINING,01:32:00,8797,1062,322,322,461,318,386,9,4,258.4409428029995
2025-01-05,Jamie Foxx,OFFICIAL MATCH,01:22:00,9713,2757,891,134,1026,569,497,29,143,1446.038125021581
2025-03-08,Vin Diesel,OFFICIAL MATCH,01:31:00,9868,1884,437,253,690,583,536,37,45,1039.9113934399481
2024-07-06,Chris Hemsworth,OFFICIAL MATCH,01:24:00,9432,1727,569,236,806,501,512,40,60,552.5447513292368
2024-11-01,Leonardo DiCaprio,FULL TRAINING,01:26:00,3487,323,112,62,175,299,292,51,2,431.1362193487695
2025-03-18,Adam Sandler,FULL TRAINING,01:49:00,8343,554,553,12,566,313,315,24,20,629.2401253807992
2024-10-25,Ryan Reynolds,FULL TRAINING,00:59:00,656,354,75,74,103,306,280,15,6,435.5204009114982
2025.05.12,Adam Sandler,FULL TRAINING,00:46:00,4722,1605,232,27,260,366,432,15,12,814.3174994345294
2024-10-07,George Clooney,FULL TRAINING,01:47:00,9263,73,98,98,119,310,304,5,16,440.794429506608
2024-08-13,Jamie Foxx,FULL TRAINING,00:24:00,3324,182,137,15,153,302,298,22,1,842.6027421171253
2024-06-27,Gerard Butler,FULL TRAINING,01:52:00,10053,1094,56,27,83,317,322,33,8,414.4635232815368
2024-11-23,Robert Downey Jr.,OFFICIAL MATCH,01:38:00,12728,1929,542,523,1066,431,358,6,2,1344.3954410527595
2024.11.20,Ryan Reynolds,FULL TRAINING,00:47:00,6286,203,203,4,208,227,381,6,21,394.9393017515469
2025-02-17,John Cena,FULL TRAINING,01:26:00,7239,1549,47,21,69,449,541,32,6,233.7425453578033
2025-04-07,Gerard Butler,FULL TRAINING,01:00:00,9714,462,47,41,89,232,174,12,25,489.8522481613838
2025.04.17,Adam Sandler,FULL TRAINING,01:37:00,1896,1553,345,31,376,191,147,6,17,693.2844708009956
2024-08-23,John Cena,FULL TRAINING,01:42:00,6663,632,163,41,204,321,288,11,60,709.0685151269067
2024.11.08,Adam Sandler,FULL TRAINING,01:13:00,5965,43,22,13,35,110,0,11,0,606.801573723025
2024-12-07,Robert Downey Jr.,OFFICIAL MATCH,01:44:00,11985,1993,633,364,997,421,540,56,312,1156.2257917968977
2024-10-26,Vin Diesel,OFFICIAL MATCH,01:36:00,9741,1385,525,491,1016,275,186,7,12,959.5625989851358
2024-10-10,Jason Momoa,FULL TRAINING,01:23:00,4320,375,40,11,52,312,423,44,4,287.7563962075072
2024-08-15,Gerard Butler,FULL TRAINING,01:02:00,5361,115,60,17,77,300,310,6,2,752.5805118190151
2025-01-06,George Clooney,FULL TRAINING,01:22:00,5149,567,383,382,440,374,301,8,11,400.13122508352586
2025.02.11,Chris Hemsworth,FULL TRAINING,00:38:00,1061,908,163,159,322,233,259,9,9,513.3002755616997
2024.07.31,Mark Wahlberg,FULL TRAINING,00:34:00,1857,1558,216,22,238,245,263,49,35,139.31938496856787
2024.08.13,Cristiano Ronaldo,FULL TRAINING,01:29:00,3911,482,142,4,147,135,173,7,12,904.3805006050763
2025-03-06,Cristiano Ronaldo,FULL TRAINING,01:22:00,8201,443,140,23,164,260,235,30,14,530.2866717734383
2024-08-16,George Clooney,FULL TRAINING,00:56:00,3663,545,21,4,26,225,302,24,1,375.63276499965764
2024-11-13,John Cena,FULL TRAINING,00:57:00,7433,631,119,7,127,218,269,6,2,683.6675311269566
2024-08-22,Robert Downey Jr.,FULL TRAINING,01:06:00,1026,421,52,13,66,265,125,8,40,684.1508040251407
2024-12-04,Adam Sandler,FULL TRAINING,01:18:00,2811,325,321,28,349,228,337,6,1,449.5762159479039
2024-10-22,Mark Wahlberg,FULL TRAINING,00:58:00,616,357,212,25,238,191,234,3,10,796.9779156574343
2025-02-24,Robert Downey Jr.,FULL TRAINING,01:08:00,3740,559,200,200,388,342,333,8,20,594.1063336409511
2025-02-20,Jason Momoa,FULL TRAINING,01:35:00,10072,584,140,5,145,169,33,25,33,935.0060253437159
2024-07-29,Chris Hemsworth,FULL TRAINING,01:22:00,8036,1032,99,98,170,124,31,20,31,898.2846495067254
2025-02-22,John Cena,OFFICIAL MATCH,01:40:00,10687,2397,560,328,889,673,435,78,13,1409.90756630376
2024-07-19,George Clooney,FULL TRAINING,01:19:00,5912,352,383,383,731,344,228,26,6,714.2344396719853
2025-04-30,Cristiano Ronaldo,FULL TRAINING,01:00:00,2331,891,233,111,345,286,258,12,8,499.3738530507594
2024-08-12,John Cena,FULL TRAINING,01:11:00,6089,601,288,40,328,165,143,9,6,536.7663043683987
2025-04-15,Cristiano Ronaldo,FULL TRAINING,01:37:00,7117,1116,1116,6,1123,404,409,4,4,526.2473392718337
2024.06.19,John Cena,FULL TRAINING,01:27:00,10620,379,103,103,161,158,317,15,10,730.9736215544023
2025-03-31,Jamie Foxx,FULL TRAINING,00:46:00,7296,928,188,22,210,145,149,13,55,469.7334652002942
2024-07-14,Vin Diesel,FULL TRAINING,01:31:00,5142,570,40,4,45,340,429,21,18,946.0571190514744
2025.04.12,Jamie Foxx,OFFICIAL MATCH,01:15:00,8290,1420,953,227,1180,464,454,22,90,1532.9242127306138
2024-12-14,Gerard Butler,OFFICIAL MATCH,01:16:00,8671,1485,236,227,464,539,449,7,44,981.5791392157312
2025-02-13,Cristiano Ronaldo,FULL TRAINING,00:47:00,2510,427,244,26,271,289,208,14,16,591.8395429916648
2025-04-19,Justin Timberlake,OFFICIAL MATCH,01:31:00,10577,1909,916,916,1730,468,405,16,93,1386.8952199699697
2024.06.20,Vin Diesel,FULL TRAINING,00:54:00,3539,565,120,59,179,365,367,18,6,569.0890308380183
2025-01-23,Justin Timberlake,FULL TRAINING,01:51:00,8521,1322,100,100,179,525,508,14,17,866.9726667631242
2024.12.14,Cristiano Ronaldo,OFFICIAL MATCH,01:39:00,11630,2244,612,211,823,438,579,26,72,567.9825254055534
2025-01-03,Robert Downey Jr.,FULL TRAINING,01:54:00,5093,786,343,7,351,220,274,18,60,879.3366527339678
